events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,family,name,direction_mode,entry_hour,horizon_min,tp_atr,sl_atr,params,params_json,decision,rank_score
415,1.1466596945106196,0.5904975716235917,0.3890177201974956,0.45887313678797464,-0.4525999999999839,-344.079224999997,0.3710843373493976,1,5,session_compression_expansion_v1,sess_comp_exp_fade_london_h9_q0.7_tp06_sl065,fade_london,9,180,0.6,0.65,{'range_q': 0.7},"{""range_q"": 0.7}",STAGE28A_REJECT,0.5371093326640088
808,0.8923000183669888,0.4051091523386092,0.23956446012104698,0.3359210652988524,-0.246049999999991,-983.3255999999952,0.42574257425742573,0,5,volatility_transition_v1,vol_trans_follow_h1_low_to_high_h13_tp06_sl065,follow_h1,13,180,0.6,0.65,{'regime': 'low_to_high'},"{""regime"": ""low_to_high""}",STAGE28A_REJECT,0.1837984086811139
540,0.9418712321785633,0.3973887077587126,0.23155891122869363,0.3132839801352968,-0.44390000000000773,-609.0585250000022,0.37777777777777777,1,5,session_handoff_imbalance_v1,handoff_align_follow_h13_tp06_sl065,align_follow,13,180,0.6,0.65,{},{},STAGE28A_REJECT,0.15281760740494613
183,0.9681110388405803,0.44585829199516464,0.2799391446641597,0.2481119905827537,-0.39109999999996026,-200.6378250000007,0.3551912568306011,0,5,liquidity_sweep_regime_v1,liq_pdl_breakout_follow_h12_tp06_sl065,breakout_follow,12,180,0.6,0.65,{'level': 'pdl'},"{""level"": ""pdl""}",STAGE28A_REJECT,0.1355162132877407
809,0.8301453296909291,0.3734921001205622,0.2235102950308475,0.30591393243516163,-0.3958999999998922,-1066.5805499999997,0.38936959208899874,0,5,volatility_transition_v1,vol_trans_follow_h1_low_to_high_h12_tp06_sl065,follow_h1,12,180,0.6,0.65,{'regime': 'low_to_high'},"{""regime"": ""low_to_high""}",STAGE28A_REJECT,0.12154579176761704
809,0.7828405764273139,0.3545655515465474,0.21522446066702755,0.29156761561447325,-0.462800000000152,-1136.2917999999977,0.36341161928306553,0,5,volatility_transition_v1,vol_trans_fade_h1_low_to_high_h12_tp06_sl065,fade_h1,12,180,0.6,0.65,{'regime': 'low_to_high'},"{""regime"": ""low_to_high""}",STAGE28A_REJECT,0.08760532014600775
645,0.9045044800902071,0.3591121603542732,0.20156024701778255,0.28844984426775644,-0.43940000000011414,-757.2410749999942,0.3550387596899225,0,5,calendar_time_risk_proxy_v1,calendar_keep_tue_wed_thu_h13_tp06_sl065,keep_tue_wed_thu,13,180,0.6,0.65,{},{},STAGE28A_REJECT,0.08097457374490902
415,0.6971127787782806,0.3596806235748515,0.24091157234767815,0.25310910843281204,-2.283675000000039,-683.0129750000001,0.3108433734939759,0,5,session_compression_expansion_v1,sess_comp_exp_follow_london_h9_q0.7_tp06_sl065,follow_london,9,180,0.6,0.65,{'range_q': 0.7},"{""range_q"": 0.7}",STAGE28A_REJECT,0.07175500303901289
522,0.8933125634086593,0.35641941128155263,0.2049613980954205,0.2672735602905086,-0.5177000000000134,-620.2782249999984,0.3275862068965517,0,5,session_handoff_imbalance_v1,handoff_divergence_fade_h15_tp06_sl065,divergence_fade,15,180,0.6,0.65,{},{},STAGE28A_REJECT,0.06313066826408112
540,0.8088634283289297,0.3299391782674936,0.1833396633058003,0.24318408763396274,-0.6121999999999388,-713.8417750000008,0.37592592592592594,0,5,session_handoff_imbalance_v1,handoff_align_follow_h14_tp06_sl065,align_follow,14,180,0.6,0.65,{},{},STAGE28A_REJECT,0.0073594114485698026
